,RIAGENDR,RIDAGEMN,RIDRETH1,HIGHEST_EDUCATION,RETIRED
0,1.0,11.0,3.0,ELEMENTARY,0.0
8,1.0,10.0,5.0,ELEMENTARY,0.0
9,2.0,493.0,4.0,OTHERS,0.0
11,1.0,37.0,1.0,ELEMENTARY,0.0
38,1.0,13.0,1.0,ELEMENTARY,0.0
41,1.0,11.0,3.0,ELEMENTARY,0.0
42,2.0,41.0,4.0,ELEMENTARY,0.0
49,2.0,42.0,3.0,ELEMENTARY,0.0
55,2.0,34.0,1.0,ELEMENTARY,0.0
57,1.0,5.0,3.0,ELEMENTARY,0.0
58,1.0,13.0,3.0,ELEMENTARY,0.0
61,2.0,70.0,4.0,ELEMENTARY,0.0
70,1.0,5.397605346934028e-79,1.0,ELEMENTARY,0.0
71,1.0,4.0,3.0,ELEMENTARY,0.0
73,2.0,14.0,3.0,ELEMENTARY,0.0
75,1.0,23.0,3.0,ELEMENTARY,0.0
82,2.0,34.0,1.0,ELEMENTARY,0.0
89,1.0,3.0,4.0,ELEMENTARY,0.0
90,2.0,14.0,4.0,ELEMENTARY,0.0
95,1.0,58.0,1.0,ELEMENTARY,0.0
102,1.0,55.0,1.0,ELEMENTARY,0.0
107,2.0,9.0,4.0,ELEMENTARY,0.0
109,2.0,67.0,1.0,ELEMENTARY,0.0
116,1.0,971.0,3.0,COLLEGE,1.0
124,2.0,42.0,4.0,ELEMENTARY,0.0
126,1.0,312.0,3.0,OTHERS,0.0
129,1.0,37.0,1.0,ELEMENTARY,0.0
133,2.0,63.0,3.0,ELEMENTARY,0.0
154,2.0,35.0,1.0,ELEMENTARY,0.0
155,2.0,200.0,1.0,ELEMENTARY,0.0
156,2.0,2.0,1.0,ELEMENTARY,0.0
160,1.0,31.0,1.0,ELEMENTARY,0.0
169,2.0,55.0,3.0,ELEMENTARY,0.0
179,1.0,5.0,4.0,ELEMENTARY,0.0
188,1.0,46.0,1.0,ELEMENTARY,0.0
195,1.0,57.0,1.0,ELEMENTARY,0.0
199,2.0,42.0,1.0,ELEMENTARY,0.0
200,1.0,17.0,5.0,ELEMENTARY,0.0
208,1.0,1.0,5.0,ELEMENTARY,0.0
211,2.0,28.0,1.0,ELEMENTARY,0.0
213,1.0,5.0,3.0,ELEMENTARY,0.0
228,1.0,103.0,5.0,ELEMENTARY,0.0
229,2.0,5.397605346934028e-79,3.0,ELEMENTARY,0.0
230,2.0,1068.0,3.0,ELEMENTARY,1.0
232,2.0,40.0,1.0,ELEMENTARY,0.0
239,1.0,11.0,1.0,ELEMENTARY,0.0
241,2.0,838.0,3.0,HIGHSCHOOL,1.0
242,2.0,11.0,4.0,ELEMENTARY,0.0
247,2.0,48.0,3.0,ELEMENTARY,0.0
250,2.0,50.0,3.0,ELEMENTARY,0.0
263,2.0,34.0,2.0,ELEMENTARY,0.0
265,1.0,739.0,1.0,HIGHSCHOOL,0.0
274,1.0,32.0,3.0,ELEMENTARY,0.0
277,1.0,33.0,1.0,ELEMENTARY,0.0
278,1.0,38.0,1.0,ELEMENTARY,0.0
281,2.0,23.0,5.0,ELEMENTARY,0.0
284,1.0,54.0,1.0,ELEMENTARY,0.0
285,1.0,33.0,1.0,ELEMENTARY,0.0
287,1.0,26.0,1.0,ELEMENTARY,0.0
292,2.0,5.0,3.0,ELEMENTARY,0.0
294,2.0,38.0,1.0,ELEMENTARY,0.0
295,2.0,52.0,4.0,ELEMENTARY,0.0
297,2.0,41.0,4.0,ELEMENTARY,0.0
306,2.0,50.0,1.0,ELEMENTARY,0.0
309,2.0,3.0,3.0,ELEMENTARY,0.0
311,2.0,61.0,3.0,ELEMENTARY,0.0
317,1.0,462.0,3.0,ELEMENTARY,0.0
318,1.0,36.0,1.0,ELEMENTARY,0.0
321,2.0,32.0,1.0,ELEMENTARY,0.0
322,2.0,446.0,3.0,OTHERS,0.0
323,1.0,20.0,3.0,ELEMENTARY,0.0
328,1.0,403.0,4.0,OTHERS,0.0
332,1.0,42.0,3.0,ELEMENTARY,0.0
334,1.0,1.0,4.0,ELEMENTARY,0.0
335,1.0,48.0,4.0,ELEMENTARY,0.0
340,1.0,5.0,5.0,ELEMENTARY,0.0
346,2.0,69.0,4.0,ELEMENTARY,0.0
348,1.0,17.0,3.0,ELEMENTARY,0.0
349,1.0,67.0,1.0,ELEMENTARY,0.0
352,1.0,2.0,1.0,ELEMENTARY,0.0
363,1.0,1.0,3.0,ELEMENTARY,0.0
366,2.0,29.0,1.0,ELEMENTARY,0.0
373,1.0,6.0,1.0,ELEMENTARY,0.0
396,1.0,9.0,1.0,ELEMENTARY,0.0
399,2.0,26.0,4.0,ELEMENTARY,0.0
409,2.0,58.0,1.0,ELEMENTARY,0.0
411,2.0,7.0,1.0,ELEMENTARY,0.0
415,1.0,414.0,3.0,OTHERS,0.0
425,2.0,66.0,4.0,ELEMENTARY,0.0
430,1.0,433.0,1.0,ELEMENTARY,0.0
435,2.0,73.0,4.0,ELEMENTARY,0.0
449,1.0,612.0,3.0,ELEMENTARY,0.0
451,2.0,51.0,1.0,ELEMENTARY,0.0
454,1.0,220.0,4.0,ELEMENTARY,0.0
457,2.0,5.397605346934028e-79,4.0,ELEMENTARY,0.0
468,1.0,26.0,3.0,ELEMENTARY,0.0
471,2.0,34.0,1.0,ELEMENTARY,0.0
473,1.0,171.0,4.0,ELEMENTARY,0.0
475,2.0,52.0,3.0,ELEMENTARY,0.0
485,2.0,33.0,3.0,ELEMENTARY,0.0
486,1.0,1.0,1.0,ELEMENTARY,0.0
487,1.0,35.0,5.0,ELEMENTARY,0.0
494,2.0,70.0,1.0,ELEMENTARY,0.0
497,1.0,53.0,3.0,ELEMENTARY,0.0
499,2.0,27.0,4.0,ELEMENTARY,0.0
501,1.0,12.0,3.0,ELEMENTARY,0.0
505,2.0,26.0,5.0,ELEMENTARY,0.0
515,2.0,28.0,5.0,ELEMENTARY,0.0
517,1.0,22.0,1.0,ELEMENTARY,0.0
521,2.0,5.0,1.0,ELEMENTARY,0.0
529,2.0,45.0,2.0,ELEMENTARY,0.0
532,1.0,10.0,3.0,ELEMENTARY,0.0
538,2.0,160.0,3.0,ELEMENTARY,0.0
540,2.0,21.0,5.0,ELEMENTARY,0.0
546,1.0,44.0,1.0,ELEMENTARY,0.0
549,2.0,29.0,2.0,ELEMENTARY,0.0
551,1.0,32.0,1.0,ELEMENTARY,0.0
556,2.0,59.0,3.0,ELEMENTARY,0.0
561,1.0,39.0,4.0,ELEMENTARY,0.0
566,2.0,7.0,3.0,ELEMENTARY,0.0
569,2.0,23.0,1.0,ELEMENTARY,0.0
570,2.0,37.0,1.0,ELEMENTARY,0.0
578,2.0,33.0,1.0,ELEMENTARY,0.0
588,2.0,3.0,4.0,ELEMENTARY,0.0
589,1.0,17.0,3.0,ELEMENTARY,0.0
599,2.0,35.0,3.0,ELEMENTARY,0.0
600,1.0,35.0,1.0,ELEMENTARY,0.0
608,1.0,22.0,3.0,ELEMENTARY,0.0
611,2.0,48.0,1.0,ELEMENTARY,0.0
631,2.0,11.0,1.0,ELEMENTARY,0.0
632,2.0,8.0,1.0,ELEMENTARY,0.0
633,2.0,23.0,3.0,ELEMENTARY,0.0
634,2.0,70.0,4.0,ELEMENTARY,0.0
643,1.0,60.0,3.0,ELEMENTARY,0.0
646,2.0,80.0,3.0,ELEMENTARY,0.0
647,1.0,67.0,4.0,ELEMENTARY,0.0
648,1.0,68.0,4.0,ELEMENTARY,0.0
650,1.0,736.0,1.0,ELEMENTARY,0.0
655,2.0,20.0,3.0,ELEMENTARY,0.0
656,2.0,53.0,1.0,ELEMENTARY,0.0
671,1.0,13.0,3.0,ELEMENTARY,0.0
676,1.0,4.0,1.0,ELEMENTARY,0.0
682,2.0,14.0,4.0,ELEMENTARY,0.0
683,1.0,51.0,1.0,ELEMENTARY,0.0
685,2.0,3.0,1.0,ELEMENTARY,0.0
688,2.0,21.0,3.0,ELEMENTARY,0.0
691,2.0,53.0,3.0,ELEMENTARY,0.0
698,2.0,48.0,5.0,ELEMENTARY,0.0
699,2.0,26.0,1.0,ELEMENTARY,0.0
702,2.0,55.0,4.0,ELEMENTARY,0.0
705,2.0,66.0,1.0,ELEMENTARY,0.0
707,1.0,15.0,3.0,ELEMENTARY,0.0
714,1.0,31.0,3.0,ELEMENTARY,0.0
718,2.0,190.0,4.0,ELEMENTARY,0.0
724,1.0,38.0,1.0,ELEMENTARY,0.0
729,2.0,70.0,3.0,ELEMENTARY,0.0
733,1.0,55.0,4.0,ELEMENTARY,0.0
742,1.0,36.0,1.0,ELEMENTARY,0.0
748,2.0,23.0,3.0,ELEMENTARY,0.0
749,2.0,47.0,4.0,ELEMENTARY,0.0
754,1.0,66.0,3.0,ELEMENTARY,0.0
756,2.0,19.0,3.0,ELEMENTARY,0.0
760,2.0,70.0,4.0,ELEMENTARY,0.0
764,2.0,24.0,1.0,ELEMENTARY,0.0
773,2.0,42.0,4.0,ELEMENTARY,0.0
774,2.0,44.0,4.0,ELEMENTARY,0.0
775,2.0,404.0,3.0,COLLEGE,0.0
777,1.0,42.0,1.0,ELEMENTARY,0.0
779,2.0,5.0,4.0,ELEMENTARY,0.0
781,1.0,54.0,1.0,ELEMENTARY,0.0
783,1.0,18.0,1.0,ELEMENTARY,0.0
784,1.0,36.0,1.0,ELEMENTARY,0.0
789,2.0,48.0,1.0,ELEMENTARY,0.0
790,2.0,48.0,4.0,ELEMENTARY,0.0
791,1.0,20.0,4.0,ELEMENTARY,0.0
800,2.0,49.0,4.0,ELEMENTARY,0.0
801,1.0,15.0,3.0,ELEMENTARY,0.0
803,2.0,267.0,3.0,HIGHSCHOOL,0.0
808,2.0,62.0,1.0,ELEMENTARY,0.0
811,2.0,10.0,1.0,ELEMENTARY,0.0
814,1.0,951.0,3.0,HIGHSCHOOL,1.0
815,2.0,6.0,3.0,ELEMENTARY,0.0
827,2.0,22.0,3.0,ELEMENTARY,0.0
828,1.0,3.0,4.0,ELEMENTARY,0.0
829,2.0,50.0,4.0,ELEMENTARY,0.0
838,1.0,5.0,1.0,ELEMENTARY,0.0
857,1.0,70.0,3.0,ELEMENTARY,0.0
860,1.0,355.0,1.0,ELEMENTARY,0.0
870,2.0,751.0,4.0,OTHERS,0.0
875,2.0,52.0,3.0,ELEMENTARY,0.0
878,1.0,38.0,2.0,ELEMENTARY,0.0
882,2.0,5.0,1.0,ELEMENTARY,0.0
894,1.0,15.0,2.0,ELEMENTARY,0.0
896,2.0,35.0,1.0,ELEMENTARY,0.0
902,1.0,22.0,3.0,ELEMENTARY,0.0
905,2.0,34.0,1.0,ELEMENTARY,0.0
914,2.0,28.0,1.0,ELEMENTARY,0.0
926,1.0,4.0,1.0,ELEMENTARY,0.0
927,1.0,32.0,1.0,ELEMENTARY,0.0
929,1.0,44.0,1.0,ELEMENTARY,0.0
932,1.0,1068.0,3.0,HIGHSCHOOL,1.0
933,1.0,37.0,1.0,ELEMENTARY,0.0
937,1.0,16.0,1.0,ELEMENTARY,0.0
942,1.0,4.0,3.0,ELEMENTARY,0.0
953,2.0,46.0,4.0,ELEMENTARY,0.0
